"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price"
"98","92%",TRUE,"Private room in rental unit","within an hour",37,4.84,362,4.89,4.89,1,450
"99","77%",TRUE,"Entire rental unit","within a few hours",27,4.62,284,4.88,4.69,2,1250
"100","82%",TRUE,"Private room in rental unit","within a day",46,4.91,348,4.76,4.82,1,450
"101","77%",TRUE,"Private room in rental unit","within a few hours",9,5,357,4.89,5,1,385
"102","0%",TRUE,"Private room in rental unit","within a day",0,4.75,364,4.83,4.71,1,700
"103","85%",TRUE,"Private room in rental unit","within an hour",16,4.94,363,4.94,4.69,1,295
"104","100%",TRUE,"Entire rental unit","within an hour",17,4.76,207,4.88,4.35,1,1180
"105","100%",TRUE,"Entire home","within a day",6,5,90,5,5,3.5,4481
"106","99%",TRUE,"Entire rental unit","within an hour",24,4.83,360,4.75,4.71,1,1797
"107","100%",TRUE,"Private room in home","within an hour",134,4.6,80,4.95,4.86,1,700
"108","N/A",FALSE,"Private room in rental unit","N/A",17,5,137,4.56,4.81,1,381
"109","100%",TRUE,"Private room in home","within a day",21,4.89,2,4.95,4.68,1,908
"110","100%",TRUE,"Entire condo","within a few hours",22,4.77,72,5,4.48,1,2500
"111","0%",TRUE,"Private room in rental unit","N/A",53,4.94,88,4.96,4.8,1,599
"112","0%",FALSE,"Private room in rental unit","N/A",2,1,365,1,1.5,1,457
"113","99%",TRUE,"Entire loft","within an hour",85,4.79,30,4.91,4.81,2,1466
"114","93%",TRUE,"Entire rental unit","within an hour",257,4.94,234,4.96,4.87,1.5,2033
"115","100%",TRUE,"Private room in home","within an hour",2,5,362,5,5,1,732
"116","99%",TRUE,"Entire rental unit","within an hour",76,4.67,298,4.88,4.41,1,685
"117","50%",TRUE,"Entire rental unit","within a day",23,4.9,11,5,4.76,1.5,2559
"118","100%",TRUE,"Entire condo","within a day",19,4.74,121,4.79,4.89,2,817
"119","64%",TRUE,"Entire rental unit","within a few hours",8,3.5,327,3.25,3.5,2,1071
"120","100%",TRUE,"Entire rental unit","within an hour",34,4.88,333,4.91,4.91,1,876
"121","74%",TRUE,"Entire loft","within an hour",43,4.78,356,4.76,4.68,1,1489
"122","81%",TRUE,"Private room in rental unit","within a few hours",0,4.75,116,4.83,4.71,1,1900
"123","N/A",TRUE,"Entire condo","N/A",15,4.87,48,4.67,5,1,708
"124","92%",TRUE,"Entire loft","within an hour",147,4.76,365,4.87,4.67,1,1350
"125","81%",TRUE,"Entire rental unit","within a few hours",25,4.96,207,4.88,4.88,3.5,3420
"126","81%",TRUE,"Entire condo","within a few hours",2,5,250,5,5,2.5,5820
"127","86%",TRUE,"Private room in home","a few days or more",49,4.77,287,4.51,4.79,1,220
"128","95%",TRUE,"Entire rental unit","within an hour",97,4.84,184,4.98,4.86,1,1237
"129","93%",TRUE,"Entire rental unit","within an hour",145,4.92,84,4.89,4.81,1,1947
"130","N/A",FALSE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,350
"131","60%",TRUE,"Entire rental unit","within a day",27,4.63,256,4.7,4.44,1,878
"132","100%",TRUE,"Private room in guest suite","within an hour",213,4.66,362,4.93,4.6,1,550
"133","86%",TRUE,"Private room in guest suite","within a day",66,4.91,336,4.94,4.79,1,1036
"134","99%",TRUE,"Entire rental unit","within an hour",105,4.84,318,4.9,4.71,1.5,3089
"135","100%",TRUE,"Private room in home","within an hour",114,5,252,5,4.94,1,1271
"136","97%",TRUE,"Entire rental unit","within an hour",26,5,347,5,4.91,2,2723
"137","100%",TRUE,"Entire rental unit","within an hour",287,4.95,204,4.96,4.84,1,2934
"138","99%",TRUE,"Entire rental unit","within an hour",319,4.95,329,5,4.87,1,2814
"139","100%",TRUE,"Private room in condo","within an hour",47,4.74,176,4.98,4.83,1,850
"140","73%",TRUE,"Private room in rental unit","within a few hours",27,4.85,331,4.8,4.96,1,240
"141","100%",TRUE,"Private room in home","within an hour",1,5,209,5,5,1,400
"142","N/A",FALSE,"Private room in rental unit","N/A",26,5,139,4.54,4.77,1,381
"143","86%",TRUE,"Room in serviced apartment","within an hour",1,5,16,5,4,1,2808
"144","91%",TRUE,"Entire rental unit","within an hour",175,4.94,326,4.98,4.92,2,2941
"145","63%",TRUE,"Entire rental unit","within a few hours",30,4.79,365,4.87,4.6,1,1216
"146","0%",TRUE,"Private room in rental unit","N/A",3,5,365,5,4.33,1,250
"147","67%",TRUE,"Entire rental unit","N/A",38,4.17,152,4.67,4.42,1,420
"148","N/A",TRUE,"Entire guesthouse","N/A",62,4.79,333,4.94,4.69,1,900
"149","100%",FALSE,"Private room in rental unit","N/A",1,5,335,5,5,1,566
"150","58%",TRUE,"Entire home","within a few hours",164,4.75,276,4.48,4.8,5.5,2561
"151","100%",TRUE,"Private room in guesthouse","within an hour",42,4.8,364,4.73,4.8,1,545
"152","100%",TRUE,"Private room in rental unit","within an hour",17,4.5,87,4.88,4.75,1,600
"153","100%",TRUE,"Entire rental unit","N/A",95,4.77,179,4.97,4.77,3.5,3068
"154","100%",TRUE,"Entire condo","within an hour",78,4.78,200,4.82,4.72,2,1362
"155","64%",TRUE,"Entire loft","within an hour",129,4.88,209,4.84,4.78,1,980
"156","100%",TRUE,"Entire rental unit","within an hour",322,4.95,146,4.95,4.85,1,1685
"157","77%",TRUE,"Private room in rental unit","within a few hours",28,4.78,354,4.85,4.63,1,290
"158","96%",TRUE,"Entire rental unit","within an hour",101,4.78,358,4.88,4.72,2,1346
"159","0%",TRUE,"Private room in rental unit","within an hour",10,4.8,62,4.6,4.9,1,540
"160","94%",TRUE,"Entire serviced apartment","within an hour",215,4.96,178,4.96,4.9,1.5,2564
"161","0%",TRUE,"Private room in rental unit","within a few hours",6,4.83,81,4.5,4.67,1,366
