,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
1649,1649,20.2,4.91,301,5.0,4.91,1.0,497.0,1650,97%,True,Private room in home,within an hour
1650,1650,20.2,4.92,39,4.97,4.84,1.5,2190.0,1651,89%,True,Entire rental unit,within an hour
1651,1651,20.2,4.78,85,4.97,4.81,1.5,1950.0,1652,89%,True,Entire rental unit,within an hour
1652,1652,20.2,4.89,172,4.92,4.88,1.5,876.0,1653,100%,True,Entire rental unit,within an hour
1657,1657,5.0,4.6,357,4.8,4.6,1.0,2927.0,1658,100%,True,Entire rental unit,within an hour
1658,1658,20.2,4.85,31,4.98,4.9,1.0,957.0,1659,99%,True,Entire rental unit,within an hour
1659,1659,30.0,5.0,338,5.0,4.97,1.0,600.0,1660,97%,True,Private room in rental unit,within an hour
1662,1662,20.2,4.9,81,4.88,4.89,2.0,1300.0,1663,92%,True,Entire home,within an hour
1663,1663,5.0,5.0,365,5.0,5.0,1.0,370.0,1664,67%,True,Private room in home,within an hour
1665,1665,20.2,4.9,329,4.99,4.9,1.0,444.0,1666,97%,True,Private room in home,within an hour
1666,1666,20.2,4.79,347,4.77,4.79,1.0,229.0,1667,99%,True,Private room in home,within an hour
1667,1667,51.0,4.8,89,4.96,4.65,1.0,450.0,1668,67%,True,Private room in home,within an hour
1669,1669,10.0,4.8,333,4.67,4.44,1.0,400.0,1670,82%,False,Private room in rental unit,within an hour
1675,1675,26.0,5.0,302,4.88,4.88,2.0,1099.0,1676,100%,True,Entire condo,within an hour
1676,1676,8.0,5.0,44,5.0,4.86,1.0,1053.0,1677,100%,True,Entire rental unit,within an hour
1677,1677,20.2,4.87,221,4.92,4.83,1.0,2663.0,1678,98%,True,Entire serviced apartment,within an hour
1679,1679,72.0,4.72,149,4.69,4.75,2.0,950.0,1680,98%,True,Entire rental unit,within an hour
1681,1681,20.2,4.59,340,4.88,4.71,2.0,1371.0,1682,99%,True,Entire rental unit,within an hour
1683,1683,20.2,4.91,224,5.0,4.92,2.0,1189.0,1684,98%,True,Entire condo,within an hour
1684,1684,20.2,4.84,234,4.95,4.85,1.0,704.0,1685,100%,True,Entire condo,within an hour
1685,1685,14.0,4.8,0,4.93,4.64,2.0,750.0,1686,100%,True,Entire condo,within an hour
1686,1686,9.0,5.0,328,5.0,5.0,1.0,2409.0,1687,100%,True,Private room in bed and breakfast,within an hour
1687,1687,11.0,5.0,327,5.0,4.9,1.0,2409.0,1688,100%,True,Private room in bed and breakfast,within an hour
1688,1688,11.0,5.0,321,5.0,5.0,1.0,2158.0,1689,100%,True,Private room in bed and breakfast,within an hour
1689,1689,61.0,4.76,292,5.0,4.82,2.5,1062.7,1690,99%,True,Entire rental unit,within an hour
1690,1690,20.2,4.7,349,4.84,4.49,1.0,640.0,1691,97%,True,Private room in rental unit,within an hour
1691,1691,32.0,4.97,10,5.0,4.84,2.0,1134.0,1692,89%,True,Entire rental unit,within an hour
1696,1696,99.0,4.88,326,4.82,4.76,1.0,871.0,1697,99%,True,Entire condo,within an hour
1697,1697,64.0,4.76,26,4.88,4.81,2.0,1709.0,1698,63%,True,Private room in home,within an hour
1698,1698,47.0,4.68,333,4.94,4.89,2.0,1630.0,1699,100%,False,Entire rental unit,within an hour
1699,1699,25.0,4.88,337,4.96,4.79,1.5,1288.0,1700,98%,True,Entire rental unit,within an hour
1705,1705,12.0,4.67,179,4.92,4.92,1.0,283.0,1706,100%,False,Entire rental unit,within an hour
1706,1706,10.0,4.7,363,4.8,4.5,1.0,500.0,1707,100%,False,Private room in home,within an hour
1711,1711,99.0,4.85,363,4.94,4.81,1.0,1347.0,1712,100%,True,Entire rental unit,within an hour
1712,1712,81.0,4.81,362,4.98,4.91,1.0,350.0,1713,100%,True,Private room in home,within an hour
1713,1713,60.0,4.87,27,4.93,4.95,2.0,1300.0,1714,99%,True,Entire rental unit,within an hour
1714,1714,20.2,4.99,157,4.95,4.94,1.0,508.0,1715,100%,True,Private room in home,within an hour
1715,1715,20.2,4.92,194,5.0,4.95,1.5,1134.0,1716,100%,True,Entire loft,within an hour
1717,1717,1.0,5.0,180,5.0,5.0,2.0,1402.0,1718,100%,True,Entire rental unit,within an hour
1718,1718,27.0,4.78,9,4.9,4.67,1.0,843.0,1719,82%,True,Entire rental unit,within an hour
1719,1719,20.2,4.87,315,4.99,4.95,2.0,2736.0,1720,98%,True,Entire rental unit,within an hour
1720,1720,35.0,5.0,334,4.94,4.88,1.0,3101.0,1721,100%,True,Private room in bed and breakfast,within an hour
1721,1721,20.2,4.9,352,4.78,4.89,1.0,226.0,1722,99%,True,Private room in home,within an hour
1722,1722,20.2,4.73,63,4.98,4.79,1.0,913.0,1723,98%,True,Entire rental unit,within an hour
1724,1724,20.2,4.89,155,4.97,4.87,1.0,1801.0,1725,100%,True,Entire loft,within an hour
1725,1725,20.2,4.85,357,4.97,4.84,1.5,1480.0,1726,98%,True,Entire condo,within an hour
1726,1726,20.2,4.8,356,4.89,4.4,1.0,526.0,1727,99%,True,Entire rental unit,within an hour
1728,1728,20.2,4.8,76,4.84,4.55,1.0,478.0,1729,100%,True,Private room in serviced apartment,within an hour
1729,1729,20.2,4.89,230,4.96,4.79,1.0,1887.0,1730,100%,True,Entire rental unit,within an hour
1730,1730,70.0,4.83,88,4.93,4.77,2.0,2295.0,1731,93%,True,Entire rental unit,within an hour
1735,1735,101.0,4.9,364,4.95,4.64,1.0,2413.0,1736,100%,True,Entire rental unit,within an hour
1736,1736,14.0,4.71,272,4.86,4.71,1.0,420.0,1737,92%,True,Private room in home,within an hour
1737,1737,20.2,4.73,323,4.93,4.76,2.0,1771.0,1738,100%,True,Entire rental unit,within an hour
1740,1740,62.0,4.89,172,4.89,4.84,1.0,669.0,1741,100%,True,Entire loft,within an hour
1741,1741,1.0,4.75,267,4.83,4.71,1.0,330.0,1742,0%,True,Private room in rental unit,within an hour
1742,1742,20.2,4.56,149,4.93,4.76,1.0,301.0,1743,97%,True,Private room in rental unit,within an hour
1745,1745,20.2,4.91,234,4.93,4.84,1.0,1436.0,1746,99%,True,Entire loft,within an hour
1747,1747,12.0,4.75,88,5.0,5.0,1.0,400.0,1748,78%,True,Private room in home,within an hour
